id,created_at,text
1369399652483743749,2021-03-09 21:28:14,b'RT @MOPHQatar: COVID-19 Drive-Through Vaccination Center in Lusail https://t.co/s47demPRsB'
1369399638877474819,2021-03-09 21:28:10,b'RT @HeadwayCardiff: Cardiff and Vale UHB launched an online form for unpaid carers living in Cardiff to complete if they feel they are elig\xe2\x80\xa6'
1369399526260416513,2021-03-09 21:27:43,b'RT @JazanUniversity: As part of its social responsibility and as a continuation of its strategy to expand vaccination scope and achieve pop\xe2\x80\xa6'
1369399508342292483,2021-03-09 21:27:39,b'RT @CDCgov: Essential workers: Getting vaccinated is the best way to protect yourself and others against #COVID19. Contact your local healt\xe2\x80\xa6'
1369399503481171973,2021-03-09 21:27:38,b'RT @meetkinjy: I am quite impressed with the rate at which people in India are vaccinated for COVID. Most of the senior members in my famil\xe2\x80\xa6'
1369399488306180100,2021-03-09 21:27:34,b'RT @INATBA_org: \xf0\x9f\x93\xa2Speaker announcement!\nJoin representatives from @LACChain @WHO @compellio @EUauditors @CargoXio @iota @AnyblockTools @Bill\xe2\x80\xa6'
1369399463807221766,2021-03-09 21:27:29,"b""RT @DrEricHadinata: Why haven't I heard any outrage over the fact that the Federal Government awarded @healthengine the sole contract for t\xe2\x80\xa6"""
1369399462574034950,2021-03-09 21:27:28,b'Sikh Women\xe2\x80\x99s Association and Adventist Health hosting COVID-19 vaccination\xc2\xa0clinic https://t.co/2812YI2Zgd'
1369399454940487685,2021-03-09 21:27:26,b'RT @SunSentinel: A controversial COVID-19 vaccination pod in Manatee County was carefully choreographed by organizers and the governor\xe2\x80\x99s of\xe2\x80\xa6'
1369399406139674631,2021-03-09 21:27:15,"b'RT @NahjPhilly: Hola mi gente! NAHJPhilly invites everyone to an important info panel on 3/24!\n\nAs vaccination efforts continue, we can\xe2\x80\x99t f\xe2\x80\xa6'"
1369399401928654849,2021-03-09 21:27:14,"b'RT @SpeechTommy: ""The BC Liberals slammed the government during question period Tuesday for not being better prepared to handle the high ca\xe2\x80\xa6'"
1369399393938518021,2021-03-09 21:27:12,b'MP Radutsky: COVID-19 vaccination in Ukraine far behind schedule\nhttps://t.co/AAJ8Ao2Hg7 https://t.co/AHAuctfdNV'
1369399393430945801,2021-03-09 21:27:12,"b""RT @Evan_Low: If you have time to volunteer, please consider doing so. You'll be saving lives and very well could save your own. \xf0\x9f\x99\x8f\n\nhttps:/\xe2\x80\xa6"""
1369399390687924225,2021-03-09 21:27:11,b'MP Radutsky: COVID-19 vaccination in Ukraine far behind schedule\nhttps://t.co/2sDDKAgOg1 https://t.co/w58BF0rmNd'
1369399385415688195,2021-03-09 21:27:10,b'RT @JazanUniversity: As part of its social responsibility and as a continuation of its strategy to expand vaccination scope and achieve pop\xe2\x80\xa6'
1369399376930562050,2021-03-09 21:27:08,b'Filling out my paperwork for my covid vaccination: \nDad: \xe2\x80\x9cyou should\xe2\x80\x99ve checked yes for chronic disease... cause yo\xe2\x80\xa6 https://t.co/rOg0iAOiui'
1369399374812504069,2021-03-09 21:27:07,"b""RT @DrEricHadinata: Why haven't I heard any outrage over the fact that the Federal Government awarded @healthengine the sole contract for t\xe2\x80\xa6"""
1369399340343648257,2021-03-09 21:26:59,b'RT @MaxCRoser: Chile is now vaccinating even faster than in previous weeks. \n\nIn the last 7 days Chile vaccinated on average 1.1% of the po\xe2\x80\xa6'
1369399332563222528,2021-03-09 21:26:57,"b'RT @stphnfwlr: If Southwest Georgia were a state, it would land near the top of nationwide vaccination rankings. \n\nBut still, in a majority\xe2\x80\xa6'"
1369399272093999108,2021-03-09 21:26:43,b'RT @jillastark: I know there\xe2\x80\x99s a bit going on in Canberra but we need serious scrutiny of the vaccination rollout. The PM promised 4 millio\xe2\x80\xa6'
1369399270550429711,2021-03-09 21:26:42,"b'RT @stphnfwlr: If Southwest Georgia were a state, it would land near the top of nationwide vaccination rankings. \n\nBut still, in a majority\xe2\x80\xa6'"
1369399260861640704,2021-03-09 21:26:40,b'RT @JazanUniversity: As part of its social responsibility and as a continuation of its strategy to expand vaccination scope and achieve pop\xe2\x80\xa6'
1369399237755207684,2021-03-09 21:26:35,b'RT @lcmhsstuco: Are you 18 or above &amp; wish to receive the COVID vaccine?  Step 1 is to register.\nhttps://t.co/BeXeSKSEzU\nStep 2 is to take\xe2\x80\xa6'
1369399207644266499,2021-03-09 21:26:27,b'RT @CT_Bergstrom: Just finished an amazing planning call for the event below. My fellow speakers @DrMelissaClarke and @raelnb have so much\xe2\x80\xa6'
1369399195598270465,2021-03-09 21:26:25,b'You can also visit our MRPS COVID-19 testing and vaccination webpage for more information and links to the appropri\xe2\x80\xa6 https://t.co/dl2kFs2fAF'
1369399156750553103,2021-03-09 21:26:15,"b""RT @nbcbayarea: Want to become eligible for a COVID-19 shot even if the state guidelines say you're not? Just register on a new state porta\xe2\x80\xa6"""
1369399131454734340,2021-03-09 21:26:09,b'RT @jillastark: I know there\xe2\x80\x99s a bit going on in Canberra but we need serious scrutiny of the vaccination rollout. The PM promised 4 millio\xe2\x80\xa6'
1369399116401414148,2021-03-09 21:26:06,b'RT @CBCIndigenous: Matawa launches COVID-19 vaccination clinic in Thunder Bay https://t.co/GQI85W2ixs'
1369399108734226438,2021-03-09 21:26:04,"b""Gov. Tony Evers toured La Crosse's community vaccination clinic on opening day Tuesday, visiting the site at UW-La\xe2\x80\xa6 https://t.co/Io2Wpg1ppz"""
1369399106444136449,2021-03-09 21:26:03,b'Northwell donates COVID-19 vaccination items to Smithsonian https://t.co/pYTgduTomB https://t.co/EXHtLC48Vu'
1369399049749749768,2021-03-09 21:25:50,b'If you look at the vaccination rates https://t.co/RW0TAi4iGg there appears a slow down in first doses and we are no\xe2\x80\xa6 https://t.co/ZSxMDMU6Ic'
1369399048365604864,2021-03-09 21:25:49,b'The American states of New York and Florida are preparing to make Covid-19 vaccines available to people aged 60 and\xe2\x80\xa6 https://t.co/UbH2Ni582p'
1369399024923643908,2021-03-09 21:25:44,"b'RT @tbcclocal708: ""Inmates of Ontario prisons can wait their turn for COVID vaccination"" This article was published on January 7th. https:/\xe2\x80\xa6'"
1369399013431246848,2021-03-09 21:25:41,b'BC VCH covid vaccination booking is a joke. Why are @bcliberals letting the @bcndp get away with such a huge miss m\xe2\x80\xa6 https://t.co/m1F1pgHbZ7'
